set	status	total_count	n_rows_returned
PreFaturaCasoLancadoViews	200	0	0
AtoRegraViews	200	0	0
GlossarioViews	200	0	0
ProjetoGerenciaViews	200	0	0
ReporOrcamentoViews	200	0	0
ProjetoItemResumoGrupoJuridicoViews	200	0	0
GerenciaRespViews	200	0	0
SyncLogItemViews	200	34	1
ProjetoItemResumoEscritorioViews	200	0	0
SyncLogItemGrupoViews	200	33	1
DicionarioModeloTelaViews	200	1	1
AlcadaPlanejamentoViews	200	0	0
LogSistemaViews	200	509393	1
FiltroGridViews	200	0	0
RestricaoAcaoViews	200	681	1
ModeloTelaAcaoViews	200	1746	1
ProfissionalSocioRelatViews	200	69	1
TimesheetFluxoAprovacaoViews	200	0	0
TimesheetGrupoJuridicoViews	200	55603	1
ClienteCrystalViews	200	147	1
ComponenteViews	200	30	1
FonteLayoutViews	200	30	1
AreaDeTrabalhoViews	200	56	1
TipoHoraProfissionalViews	200	0	0
ProfissionalCaixinhaViews	200	1	1
AssuntoConfiguracaoViews	200	0	0
RegiaoViews	200	0	0
TributosPrognosticoViews	404	{"Message":"Não foram encontrados recursos HTTP que correspondam ao URI de solicitação 'https://legaldesk.mbclaw.com.br/	0
CorrespondenteComarcaAtoValorViews	404	{"Message":"Não foram encontrados recursos HTTP que correspondam ao URI de solicitação 'https://legaldesk.mbclaw.com.br/	0
PesquisaPublicacaoViews	200	1	1
CalculoViews	200	0	0
CorrespondenteComarcaViews	200	0	0
CasoAlocacaoViews	200	542	1
LayoutJsonViews	200	1	1
ChecagemConflitoViews	200	0	0
ConflitoInteresseViews	200	0	0
TipoAlocacaoViews	200	0	0
CasoMaeFilhoViews	200	542	1
ExcecaoProfissionalPagamentoViews	200	0	0
DicionarioSensivelViews	200	26	1
EmpresaClienteViews	200	1	1
DespesaCorrespondenteViews	200	0	0
AgendaCorrespondenteViews	200	1	1
DicionarioSensivelModeloViews	200	0	0
CorrespondenteClienteViews	200	0	0
RevisaoCasoFixoRevisadoViews	200	41	1
MovimentacaoViews	200	3	1
AlocacaoCasoFavoritoViews	200	73	1
PreFaturaResumoProfissionalViews	200	5585	1
CheckinMovimentacaoViews	200	0	0
AlocacaoClienteFavoritoViews	200	34	1
ResponsavelProfissionalRhViews	200	0	0
CheckinEmailViews	200	0	0
RevisaoFixoAcumularViews	200	0	0
DesdobramentoCamposViews	200	0	0
ResponsavelProfissionalIntegranteViews	200	0	0
ExcecaoCorteTimesheetViews	200	0	0
ClassificacaoBairroViews	200	19	1
CorrecaoMonetariaCamposViews	200	0	0
CampoModeloViews	200	0	0
RevisaoFixoInstrucaoViews	200	0	0
PessoaSimplificadoViews	200	845	1
FaturamentoOcorrenciaDicionarioViews	200	10	1
TipoLogradouroViews	200	14	1
AgendadorRelatorioViews	200	0	0
LogAgendadorRelatorioViews	200	0	0
CabecalhoAssuntoCamposViews	500	{
  "result": {
    "error": true,
    "type": "general",
    "message": "ORA-00942: table or view does not exist",	0
CabecalhoAssuntoViews	200	0	0
BaseLoyAreaJuridicaViews	200	0	0
BaseLoyViews	200	0	0
TemplateWorkflowProfissionaisViews	404	{"Message":"Não foram encontrados recursos HTTP que correspondam ao URI de solicitação 'https://legaldesk.mbclaw.com.br/	0
TemplateWorkflowResponsabilidadesViews	404	{"Message":"Não foram encontrados recursos HTTP que correspondam ao URI de solicitação 'https://legaldesk.mbclaw.com.br/	0
TemplateWorkflowCondicoesViews	404	{"Message":"Não foram encontrados recursos HTTP que correspondam ao URI de solicitação 'https://legaldesk.mbclaw.com.br/	0
TemplateWorkflowTarefasViews	500	{
  "result": {
    "error": true,
    "type": "general",
    "message": "LINQ to Entities does not recognize the me	0
CasoEmLoteViews	200	542	1
TemplateWorkflowViews	200	0	0
TemplateWorkflowCriteriosViews	404	{"Message":"Não foram encontrados recursos HTTP que correspondam ao URI de solicitação 'https://legaldesk.mbclaw.com.br/	0
